name,state,weather
Tulum,Quintana Roo,"[{'day': '5/30', 'low_temp': 79, 'high_temp': 92}, {'day': '5/31', 'low_temp': 78, 'high_temp': 92}, {'day': '6/1', 'low_temp': 77, 'high_temp': 92}, {'day': '6/2', 'low_temp': 77, 'high_temp': 91}, {'day': '6/3', 'low_temp': 76, 'high_temp': 92}, {'day': '6/4', 'low_temp': 78, 'high_temp': 92}, {'day': '6/5', 'low_temp': 77, 'high_temp': 91}, {'day': '6/6', 'low_temp': 74, 'high_temp': 94}, {'day': '6/7', 'low_temp': 74, 'high_temp': 94}, {'day': '6/8', 'low_temp': 75, 'high_temp': 93}]"
Villa Progreso,Querétaro,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 87}, {'day': '5/31', 'low_temp': 56, 'high_temp': 89}, {'day': '6/1', 'low_temp': 56, 'high_temp': 88}, {'day': '6/2', 'low_temp': 58, 'high_temp': 89}, {'day': '6/3', 'low_temp': 59, 'high_temp': 90}, {'day': '6/4', 'low_temp': 59, 'high_temp': 90}, {'day': '6/5', 'low_temp': 56, 'high_temp': 89}, {'day': '6/6', 'low_temp': 56, 'high_temp': 82}, {'day': '6/7', 'low_temp': 56, 'high_temp': 81}, {'day': '6/8', 'low_temp': 57, 'high_temp': 80}]"
Zacatlán,Puebla,"[{'day': '5/30', 'low_temp': 58, 'high_temp': 79}, {'day': '5/31', 'low_temp': 60, 'high_temp': 84}, {'day': '6/1', 'low_temp': 57, 'high_temp': 84}, {'day': '6/2', 'low_temp': 61, 'high_temp': 83}, {'day': '6/3', 'low_temp': 63, 'high_temp': 84}, {'day': '6/4', 'low_temp': 63, 'high_temp': 84}, {'day': '6/5', 'low_temp': 61, 'high_temp': 83}, {'day': '6/6', 'low_temp': 58, 'high_temp': 78}, {'day': '6/7', 'low_temp': 57, 'high_temp': 78}, {'day': '6/8', 'low_temp': 58, 'high_temp': 74}]"
Zimatlán de Álvarez,Oaxaca,"[{'day': '5/30', 'low_temp': 61, 'high_temp': 93}, {'day': '5/31', 'low_temp': 62, 'high_temp': 95}, {'day': '6/1', 'low_temp': 62, 'high_temp': 93}, {'day': '6/2', 'low_temp': 64, 'high_temp': 92}, {'day': '6/3', 'low_temp': 63, 'high_temp': 92}, {'day': '6/4', 'low_temp': 64, 'high_temp': 94}, {'day': '6/5', 'low_temp': 63, 'high_temp': 93}, {'day': '6/6', 'low_temp': 63, 'high_temp': 87}, {'day': '6/7', 'low_temp': 62, 'high_temp': 86}, {'day': '6/8', 'low_temp': 63, 'high_temp': 84}]"
Villas de Alcalá,Nuevo León,"[{'day': '5/30', 'low_temp': 73, 'high_temp': 97}, {'day': '5/31', 'low_temp': 76, 'high_temp': 101}, {'day': '6/1', 'low_temp': 75, 'high_temp': 99}, {'day': '6/2', 'low_temp': 77, 'high_temp': 101}, {'day': '6/3', 'low_temp': 76, 'high_temp': 100}, {'day': '6/4', 'low_temp': 77, 'high_temp': 102}, {'day': '6/5', 'low_temp': 76, 'high_temp': 103}, {'day': '6/6', 'low_temp': 72, 'high_temp': 99}, {'day': '6/7', 'low_temp': 70, 'high_temp': 98}, {'day': '6/8', 'low_temp': 71, 'high_temp': 97}]"
Xalisco,Nayarit,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 95}, {'day': '5/31', 'low_temp': 62, 'high_temp': 96}, {'day': '6/1', 'low_temp': 62, 'high_temp': 96}, {'day': '6/2', 'low_temp': 60, 'high_temp': 96}, {'day': '6/3', 'low_temp': 58, 'high_temp': 94}, {'day': '6/4', 'low_temp': 58, 'high_temp': 94}, {'day': '6/5', 'low_temp': 59, 'high_temp': 93}, {'day': '6/6', 'low_temp': 62, 'high_temp': 89}, {'day': '6/7', 'low_temp': 62, 'high_temp': 87}, {'day': '6/8', 'low_temp': 63, 'high_temp': 88}]"
Villa Hidalgo,Nayarit,"[{'day': '5/30', 'low_temp': 75, 'high_temp': 89}, {'day': '5/31', 'low_temp': 74, 'high_temp': 89}, {'day': '6/1', 'low_temp': 75, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 88}, {'day': '6/3', 'low_temp': 75, 'high_temp': 88}, {'day': '6/4', 'low_temp': 73, 'high_temp': 88}, {'day': '6/5', 'low_temp': 72, 'high_temp': 87}, {'day': '6/6', 'low_temp': 74, 'high_temp': 90}, {'day': '6/7', 'low_temp': 75, 'high_temp': 90}, {'day': '6/8', 'low_temp': 76, 'high_temp': 89}]"
Valle de Banderas,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
Tuxpan,Nayarit,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 101}, {'day': '5/31', 'low_temp': 69, 'high_temp': 101}, {'day': '6/1', 'low_temp': 69, 'high_temp': 101}, {'day': '6/2', 'low_temp': 67, 'high_temp': 99}, {'day': '6/3', 'low_temp': 68, 'high_temp': 98}, {'day': '6/4', 'low_temp': 67, 'high_temp': 98}, {'day': '6/5', 'low_temp': 68, 'high_temp': 97}, {'day': '6/6', 'low_temp': 71, 'high_temp': 99}, {'day': '6/7', 'low_temp': 72, 'high_temp': 96}, {'day': '6/8', 'low_temp': 73, 'high_temp': 97}]"
Tepic,Nayarit,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 94}, {'day': '5/31', 'low_temp': 64, 'high_temp': 94}, {'day': '6/1', 'low_temp': 64, 'high_temp': 94}, {'day': '6/2', 'low_temp': 63, 'high_temp': 94}, {'day': '6/3', 'low_temp': 60, 'high_temp': 92}, {'day': '6/4', 'low_temp': 61, 'high_temp': 93}, {'day': '6/5', 'low_temp': 62, 'high_temp': 92}, {'day': '6/6', 'low_temp': 62, 'high_temp': 89}, {'day': '6/7', 'low_temp': 63, 'high_temp': 88}, {'day': '6/8', 'low_temp': 64, 'high_temp': 87}]"
Tecuala,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 98}, {'day': '5/31', 'low_temp': 71, 'high_temp': 97}, {'day': '6/1', 'low_temp': 70, 'high_temp': 97}, {'day': '6/2', 'low_temp': 67, 'high_temp': 97}, {'day': '6/3', 'low_temp': 68, 'high_temp': 95}, {'day': '6/4', 'low_temp': 67, 'high_temp': 95}, {'day': '6/5', 'low_temp': 69, 'high_temp': 94}, {'day': '6/6', 'low_temp': 73, 'high_temp': 96}, {'day': '6/7', 'low_temp': 73, 'high_temp': 95}, {'day': '6/8', 'low_temp': 74, 'high_temp': 96}]"
Santiago Ixcuintla,Nayarit,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 101}, {'day': '5/31', 'low_temp': 69, 'high_temp': 101}, {'day': '6/1', 'low_temp': 69, 'high_temp': 101}, {'day': '6/2', 'low_temp': 67, 'high_temp': 99}, {'day': '6/3', 'low_temp': 68, 'high_temp': 98}, {'day': '6/4', 'low_temp': 67, 'high_temp': 98}, {'day': '6/5', 'low_temp': 68, 'high_temp': 97}, {'day': '6/6', 'low_temp': 71, 'high_temp': 99}, {'day': '6/7', 'low_temp': 72, 'high_temp': 96}, {'day': '6/8', 'low_temp': 73, 'high_temp': 97}]"
Santa María del Oro,Nayarit,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 89}, {'day': '5/31', 'low_temp': 63, 'high_temp': 89}, {'day': '6/1', 'low_temp': 63, 'high_temp': 90}, {'day': '6/2', 'low_temp': 62, 'high_temp': 89}, {'day': '6/3', 'low_temp': 61, 'high_temp': 88}, {'day': '6/4', 'low_temp': 60, 'high_temp': 88}, {'day': '6/5', 'low_temp': 61, 'high_temp': 87}, {'day': '6/6', 'low_temp': 59, 'high_temp': 84}, {'day': '6/7', 'low_temp': 60, 'high_temp': 82}, {'day': '6/8', 'low_temp': 61, 'high_temp': 83}]"
San Vicente,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
San Pedro Lagunillas,Nayarit,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 89}, {'day': '5/31', 'low_temp': 63, 'high_temp': 89}, {'day': '6/1', 'low_temp': 63, 'high_temp': 90}, {'day': '6/2', 'low_temp': 62, 'high_temp': 89}, {'day': '6/3', 'low_temp': 61, 'high_temp': 88}, {'day': '6/4', 'low_temp': 60, 'high_temp': 88}, {'day': '6/5', 'low_temp': 61, 'high_temp': 87}, {'day': '6/6', 'low_temp': 59, 'high_temp': 84}, {'day': '6/7', 'low_temp': 60, 'high_temp': 82}, {'day': '6/8', 'low_temp': 61, 'high_temp': 83}]"
San Juan de Abajo,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
San José del Valle,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
San Blas,Nayarit,"[{'day': '5/30', 'low_temp': 69, 'high_temp': 94}, {'day': '5/31', 'low_temp': 68, 'high_temp': 94}, {'day': '6/1', 'low_temp': 69, 'high_temp': 94}, {'day': '6/2', 'low_temp': 67, 'high_temp': 93}, {'day': '6/3', 'low_temp': 67, 'high_temp': 91}, {'day': '6/4', 'low_temp': 65, 'high_temp': 91}, {'day': '6/5', 'low_temp': 66, 'high_temp': 92}, {'day': '6/6', 'low_temp': 68, 'high_temp': 92}, {'day': '6/7', 'low_temp': 69, 'high_temp': 90}, {'day': '6/8', 'low_temp': 70, 'high_temp': 91}]"
Ruíz,Nayarit,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 101}, {'day': '5/31', 'low_temp': 69, 'high_temp': 101}, {'day': '6/1', 'low_temp': 69, 'high_temp': 101}, {'day': '6/2', 'low_temp': 67, 'high_temp': 99}, {'day': '6/3', 'low_temp': 68, 'high_temp': 98}, {'day': '6/4', 'low_temp': 67, 'high_temp': 98}, {'day': '6/5', 'low_temp': 68, 'high_temp': 97}, {'day': '6/6', 'low_temp': 71, 'high_temp': 99}, {'day': '6/7', 'low_temp': 72, 'high_temp': 96}, {'day': '6/8', 'low_temp': 73, 'high_temp': 97}]"
Rosamorada,Nayarit,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 101}, {'day': '5/31', 'low_temp': 69, 'high_temp': 101}, {'day': '6/1', 'low_temp': 69, 'high_temp': 101}, {'day': '6/2', 'low_temp': 67, 'high_temp': 99}, {'day': '6/3', 'low_temp': 68, 'high_temp': 98}, {'day': '6/4', 'low_temp': 67, 'high_temp': 98}, {'day': '6/5', 'low_temp': 68, 'high_temp': 97}, {'day': '6/6', 'low_temp': 71, 'high_temp': 99}, {'day': '6/7', 'low_temp': 72, 'high_temp': 96}, {'day': '6/8', 'low_temp': 73, 'high_temp': 97}]"
Mezcales,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
Las Varas,Nayarit,"[{'day': '5/30', 'low_temp': 74, 'high_temp': 87}, {'day': '5/31', 'low_temp': 73, 'high_temp': 86}, {'day': '6/1', 'low_temp': 75, 'high_temp': 87}, {'day': '6/2', 'low_temp': 74, 'high_temp': 87}, {'day': '6/3', 'low_temp': 74, 'high_temp': 86}, {'day': '6/4', 'low_temp': 73, 'high_temp': 85}, {'day': '6/5', 'low_temp': 74, 'high_temp': 84}, {'day': '6/6', 'low_temp': 74, 'high_temp': 92}, {'day': '6/7', 'low_temp': 74, 'high_temp': 92}, {'day': '6/8', 'low_temp': 75, 'high_temp': 91}]"
Las Jarretaderas,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
La Yesca,Nayarit,"[{'day': '5/30', 'low_temp': 61, 'high_temp': 101}, {'day': '5/31', 'low_temp': 63, 'high_temp': 102}, {'day': '6/1', 'low_temp': 62, 'high_temp': 103}, {'day': '6/2', 'low_temp': 60, 'high_temp': 102}, {'day': '6/3', 'low_temp': 60, 'high_temp': 101}, {'day': '6/4', 'low_temp': 60, 'high_temp': 101}, {'day': '6/5', 'low_temp': 61, 'high_temp': 100}, {'day': '6/6', 'low_temp': 64, 'high_temp': 96}, {'day': '6/7', 'low_temp': 64, 'high_temp': 95}, {'day': '6/8', 'low_temp': 65, 'high_temp': 94}]"
La Peñita de Jaltemba,Nayarit,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 90}, {'day': '5/31', 'low_temp': 70, 'high_temp': 89}, {'day': '6/1', 'low_temp': 71, 'high_temp': 90}, {'day': '6/2', 'low_temp': 70, 'high_temp': 89}, {'day': '6/3', 'low_temp': 70, 'high_temp': 87}, {'day': '6/4', 'low_temp': 69, 'high_temp': 87}, {'day': '6/5', 'low_temp': 70, 'high_temp': 86}, {'day': '6/6', 'low_temp': 71, 'high_temp': 90}, {'day': '6/7', 'low_temp': 71, 'high_temp': 89}, {'day': '6/8', 'low_temp': 72, 'high_temp': 90}]"
Jala,Nayarit,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 89}, {'day': '5/31', 'low_temp': 63, 'high_temp': 89}, {'day': '6/1', 'low_temp': 63, 'high_temp': 90}, {'day': '6/2', 'low_temp': 62, 'high_temp': 89}, {'day': '6/3', 'low_temp': 61, 'high_temp': 88}, {'day': '6/4', 'low_temp': 60, 'high_temp': 88}, {'day': '6/5', 'low_temp': 61, 'high_temp': 87}, {'day': '6/6', 'low_temp': 59, 'high_temp': 84}, {'day': '6/7', 'low_temp': 60, 'high_temp': 82}, {'day': '6/8', 'low_temp': 61, 'high_temp': 83}]"
Ixtlán del Río,Nayarit,"[{'day': '5/30', 'low_temp': 64, 'high_temp': 104}, {'day': '5/31', 'low_temp': 65, 'high_temp': 105}, {'day': '6/1', 'low_temp': 66, 'high_temp': 106}, {'day': '6/2', 'low_temp': 64, 'high_temp': 106}, {'day': '6/3', 'low_temp': 64, 'high_temp': 104}, {'day': '6/4', 'low_temp': 61, 'high_temp': 105}, {'day': '6/5', 'low_temp': 62, 'high_temp': 103}, {'day': '6/6', 'low_temp': 66, 'high_temp': 102}, {'day': '6/7', 'low_temp': 66, 'high_temp': 100}, {'day': '6/8', 'low_temp': 67, 'high_temp': 99}]"
Huajicori,Nayarit,"[{'day': '5/30', 'low_temp': 69, 'high_temp': 102}, {'day': '5/31', 'low_temp': 68, 'high_temp': 102}, {'day': '6/1', 'low_temp': 68, 'high_temp': 102}, {'day': '6/2', 'low_temp': 66, 'high_temp': 100}, {'day': '6/3', 'low_temp': 66, 'high_temp': 99}, {'day': '6/4', 'low_temp': 66, 'high_temp': 100}, {'day': '6/5', 'low_temp': 68, 'high_temp': 99}, {'day': '6/6', 'low_temp': 72, 'high_temp': 99}, {'day': '6/7', 'low_temp': 72, 'high_temp': 98}, {'day': '6/8', 'low_temp': 73, 'high_temp': 99}]"
El Porvenir,Nayarit,"[{'day': '5/30', 'low_temp': 72, 'high_temp': 88}, {'day': '5/31', 'low_temp': 69, 'high_temp': 89}, {'day': '6/1', 'low_temp': 72, 'high_temp': 89}, {'day': '6/2', 'low_temp': 74, 'high_temp': 89}, {'day': '6/3', 'low_temp': 73, 'high_temp': 89}, {'day': '6/4', 'low_temp': 72, 'high_temp': 88}, {'day': '6/5', 'low_temp': 71, 'high_temp': 87}, {'day': '6/6', 'low_temp': 73, 'high_temp': 92}, {'day': '6/7', 'low_temp': 72, 'high_temp': 93}, {'day': '6/8', 'low_temp': 73, 'high_temp': 92}]"
Del Nayar,Nayarit,"[{'day': '5/30', 'low_temp': 66, 'high_temp': 106}, {'day': '5/31', 'low_temp': 65, 'high_temp': 107}, {'day': '6/1', 'low_temp': 66, 'high_temp': 107}, {'day': '6/2', 'low_temp': 63, 'high_temp': 107}, {'day': '6/3', 'low_temp': 63, 'high_temp': 105}, {'day': '6/4', 'low_temp': 64, 'high_temp': 105}, {'day': '6/5', 'low_temp': 65, 'high_temp': 104}, {'day': '6/6', 'low_temp': 66, 'high_temp': 106}, {'day': '6/7', 'low_temp': 67, 'high_temp': 104}, {'day': '6/8', 'low_temp': 68, 'high_temp': 103}]"
Compostela,Nayarit,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 95}, {'day': '5/31', 'low_temp': 62, 'high_temp': 96}, {'day': '6/1', 'low_temp': 62, 'high_temp': 96}, {'day': '6/2', 'low_temp': 60, 'high_temp': 96}, {'day': '6/3', 'low_temp': 58, 'high_temp': 94}, {'day': '6/4', 'low_temp': 58, 'high_temp': 94}, {'day': '6/5', 'low_temp': 59, 'high_temp': 93}, {'day': '6/6', 'low_temp': 62, 'high_temp': 89}, {'day': '6/7', 'low_temp': 62, 'high_temp': 87}, {'day': '6/8', 'low_temp': 63, 'high_temp': 88}]"
Coamiles,Nayarit,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 101}, {'day': '5/31', 'low_temp': 69, 'high_temp': 101}, {'day': '6/1', 'low_temp': 69, 'high_temp': 101}, {'day': '6/2', 'low_temp': 67, 'high_temp': 99}, {'day': '6/3', 'low_temp': 68, 'high_temp': 98}, {'day': '6/4', 'low_temp': 67, 'high_temp': 98}, {'day': '6/5', 'low_temp': 68, 'high_temp': 97}, {'day': '6/6', 'low_temp': 71, 'high_temp': 99}, {'day': '6/7', 'low_temp': 72, 'high_temp': 96}, {'day': '6/8', 'low_temp': 73, 'high_temp': 97}]"
Cinco de Mayo,Nayarit,"[{'day': '5/30', 'low_temp': 69, 'high_temp': 94}, {'day': '5/31', 'low_temp': 68, 'high_temp': 94}, {'day': '6/1', 'low_temp': 69, 'high_temp': 94}, {'day': '6/2', 'low_temp': 67, 'high_temp': 93}, {'day': '6/3', 'low_temp': 67, 'high_temp': 91}, {'day': '6/4', 'low_temp': 65, 'high_temp': 91}, {'day': '6/5', 'low_temp': 66, 'high_temp': 92}, {'day': '6/6', 'low_temp': 68, 'high_temp': 92}, {'day': '6/7', 'low_temp': 69, 'high_temp': 90}, {'day': '6/8', 'low_temp': 70, 'high_temp': 91}]"
