name,state,weather
Bimbaletes Aguascalientes,Aguascalientes,"[{'day': '5/30', 'low_temp': 61, 'high_temp': 91}, {'day': '5/31', 'low_temp': 63, 'high_temp': 91}, {'day': '6/1', 'low_temp': 61, 'high_temp': 91}, {'day': '6/2', 'low_temp': 59, 'high_temp': 90}, {'day': '6/3', 'low_temp': 58, 'high_temp': 89}, {'day': '6/4', 'low_temp': 60, 'high_temp': 89}, {'day': '6/5', 'low_temp': 59, 'high_temp': 91}, {'day': '6/6', 'low_temp': 58, 'high_temp': 87}, {'day': '6/7', 'low_temp': 58, 'high_temp': 85}, {'day': '6/8', 'low_temp': 57, 'high_temp': 83}]"
Barranca de Portales,Aguascalientes,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 99}, {'day': '5/31', 'low_temp': 64, 'high_temp': 98}, {'day': '6/1', 'low_temp': 65, 'high_temp': 98}, {'day': '6/2', 'low_temp': 62, 'high_temp': 98}, {'day': '6/3', 'low_temp': 62, 'high_temp': 97}, {'day': '6/4', 'low_temp': 60, 'high_temp': 96}, {'day': '6/5', 'low_temp': 66, 'high_temp': 95}, {'day': '6/6', 'low_temp': 64, 'high_temp': 96}, {'day': '6/7', 'low_temp': 63, 'high_temp': 94}, {'day': '6/8', 'low_temp': 62, 'high_temp': 92}]"
Barandales de San José,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 94}, {'day': '5/31', 'low_temp': 65, 'high_temp': 94}, {'day': '6/1', 'low_temp': 64, 'high_temp': 94}, {'day': '6/2', 'low_temp': 62, 'high_temp': 93}, {'day': '6/3', 'low_temp': 62, 'high_temp': 91}, {'day': '6/4', 'low_temp': 63, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 91}, {'day': '6/7', 'low_temp': 60, 'high_temp': 89}, {'day': '6/8', 'low_temp': 59, 'high_temp': 87}]"
Asturias,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 94}, {'day': '5/31', 'low_temp': 65, 'high_temp': 94}, {'day': '6/1', 'low_temp': 64, 'high_temp': 94}, {'day': '6/2', 'low_temp': 62, 'high_temp': 93}, {'day': '6/3', 'low_temp': 62, 'high_temp': 91}, {'day': '6/4', 'low_temp': 63, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 91}, {'day': '6/7', 'low_temp': 60, 'high_temp': 89}, {'day': '6/8', 'low_temp': 59, 'high_temp': 87}]"
Asientos,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Arroyo Ojocalientillo,Aguascalientes,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 99}, {'day': '5/31', 'low_temp': 64, 'high_temp': 98}, {'day': '6/1', 'low_temp': 65, 'high_temp': 98}, {'day': '6/2', 'low_temp': 62, 'high_temp': 98}, {'day': '6/3', 'low_temp': 62, 'high_temp': 97}, {'day': '6/4', 'low_temp': 60, 'high_temp': 96}, {'day': '6/5', 'low_temp': 66, 'high_temp': 95}, {'day': '6/6', 'low_temp': 64, 'high_temp': 96}, {'day': '6/7', 'low_temp': 63, 'high_temp': 94}, {'day': '6/8', 'low_temp': 62, 'high_temp': 92}]"
Tepezalá,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
San José de Gracia,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
San Francisco de los Romo,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Rincón de Romos,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Pocitos,Aguascalientes,"[{'day': '5/30', 'low_temp': 63, 'high_temp': 94}, {'day': '5/31', 'low_temp': 65, 'high_temp': 94}, {'day': '6/1', 'low_temp': 64, 'high_temp': 94}, {'day': '6/2', 'low_temp': 62, 'high_temp': 93}, {'day': '6/3', 'low_temp': 62, 'high_temp': 91}, {'day': '6/4', 'low_temp': 63, 'high_temp': 92}, {'day': '6/5', 'low_temp': 62, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 91}, {'day': '6/7', 'low_temp': 60, 'high_temp': 89}, {'day': '6/8', 'low_temp': 59, 'high_temp': 87}]"
Palo Alto,Aguascalientes,"[{'day': '5/30', 'low_temp': 61, 'high_temp': 91}, {'day': '5/31', 'low_temp': 63, 'high_temp': 91}, {'day': '6/1', 'low_temp': 61, 'high_temp': 91}, {'day': '6/2', 'low_temp': 59, 'high_temp': 90}, {'day': '6/3', 'low_temp': 58, 'high_temp': 89}, {'day': '6/4', 'low_temp': 60, 'high_temp': 89}, {'day': '6/5', 'low_temp': 59, 'high_temp': 91}, {'day': '6/6', 'low_temp': 58, 'high_temp': 87}, {'day': '6/7', 'low_temp': 58, 'high_temp': 85}, {'day': '6/8', 'low_temp': 57, 'high_temp': 83}]"
Pabellón de Arteaga,Aguascalientes,"[{'day': '5/30', 'low_temp': 60, 'high_temp': 94}, {'day': '5/31', 'low_temp': 62, 'high_temp': 93}, {'day': '6/1', 'low_temp': 62, 'high_temp': 94}, {'day': '6/2', 'low_temp': 60, 'high_temp': 91}, {'day': '6/3', 'low_temp': 61, 'high_temp': 89}, {'day': '6/4', 'low_temp': 61, 'high_temp': 91}, {'day': '6/5', 'low_temp': 63, 'high_temp': 94}, {'day': '6/6', 'low_temp': 61, 'high_temp': 90}, {'day': '6/7', 'low_temp': 60, 'high_temp': 88}, {'day': '6/8', 'low_temp': 59, 'high_temp': 86}]"
Ojocaliente,Aguascalientes,"[{'day': '5/30', 'low_temp': 62, 'high_temp': 84}, {'day': '5/31', 'low_temp': 63, 'high_temp': 83}, {'day': '6/1', 'low_temp': 62, 'high_temp': 83}, {'day': '6/2', 'low_temp': 58, 'high_temp': 82}, {'day': '6/3', 'low_temp': 60, 'high_temp': 82}, {'day': '6/4', 'low_temp': 61, 'high_temp': 81}, {'day': '6/5', 'low_temp': 62, 'high_temp': 82}, {'day': '6/6', 'low_temp': 60, 'high_temp': 87}, {'day': '6/7', 'low_temp': 59, 'high_temp': 84}, {'day': '6/8', 'low_temp': 58, 'high_temp': 83}]"
