name,state,weather
Vicente Guerrero,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 72}, {'day': '5/31', 'low_temp': 56, 'high_temp': 71}, {'day': '6/1', 'low_temp': 57, 'high_temp': 72}, {'day': '6/2', 'low_temp': 57, 'high_temp': 72}, {'day': '6/3', 'low_temp': 55, 'high_temp': 70}, {'day': '6/4', 'low_temp': 58, 'high_temp': 71}, {'day': '6/5', 'low_temp': 59, 'high_temp': 72}, {'day': '6/6', 'low_temp': 59, 'high_temp': 82}, {'day': '6/7', 'low_temp': 58, 'high_temp': 81}, {'day': '6/8', 'low_temp': 59, 'high_temp': 82}]"
Tijuana,Baja California,"[{'day': '5/30', 'low_temp': 57, 'high_temp': 70}, {'day': '5/31', 'low_temp': 57, 'high_temp': 69}, {'day': '6/1', 'low_temp': 56, 'high_temp': 69}, {'day': '6/2', 'low_temp': 57, 'high_temp': 68}, {'day': '6/3', 'low_temp': 56, 'high_temp': 67}, {'day': '6/4', 'low_temp': 60, 'high_temp': 70}, {'day': '6/5', 'low_temp': 59, 'high_temp': 71}, {'day': '6/6', 'low_temp': 60, 'high_temp': 71}, {'day': '6/7', 'low_temp': 61, 'high_temp': 71}, {'day': '6/8', 'low_temp': 60, 'high_temp': 72}]"
Terrazas del Valle,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 71}, {'day': '5/31', 'low_temp': 56, 'high_temp': 71}, {'day': '6/1', 'low_temp': 56, 'high_temp': 71}, {'day': '6/2', 'low_temp': 57, 'high_temp': 70}, {'day': '6/3', 'low_temp': 55, 'high_temp': 70}, {'day': '6/4', 'low_temp': 58, 'high_temp': 72}, {'day': '6/5', 'low_temp': 59, 'high_temp': 73}, {'day': '6/6', 'low_temp': 58, 'high_temp': 73}, {'day': '6/7', 'low_temp': 57, 'high_temp': 73}, {'day': '6/8', 'low_temp': 58, 'high_temp': 74}]"
Tecate,Baja California,"[{'day': '5/30', 'low_temp': 50, 'high_temp': 80}, {'day': '5/31', 'low_temp': 49, 'high_temp': 79}, {'day': '6/1', 'low_temp': 51, 'high_temp': 79}, {'day': '6/2', 'low_temp': 49, 'high_temp': 77}, {'day': '6/3', 'low_temp': 50, 'high_temp': 78}, {'day': '6/4', 'low_temp': 47, 'high_temp': 82}, {'day': '6/5', 'low_temp': 49, 'high_temp': 82}, {'day': '6/6', 'low_temp': 51, 'high_temp': 79}, {'day': '6/7', 'low_temp': 54, 'high_temp': 80}, {'day': '6/8', 'low_temp': 51, 'high_temp': 77}]"
Santa Isabel,Baja California,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 104}, {'day': '5/31', 'low_temp': 71, 'high_temp': 104}, {'day': '6/1', 'low_temp': 69, 'high_temp': 105}, {'day': '6/2', 'low_temp': 71, 'high_temp': 104}, {'day': '6/3', 'low_temp': 71, 'high_temp': 102}, {'day': '6/4', 'low_temp': 73, 'high_temp': 101}, {'day': '6/5', 'low_temp': 72, 'high_temp': 105}, {'day': '6/6', 'low_temp': 75, 'high_temp': 106}, {'day': '6/7', 'low_temp': 73, 'high_temp': 105}, {'day': '6/8', 'low_temp': 75, 'high_temp': 101}]"
San Luis,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
San Felipe,Baja California,"[{'day': '5/30', 'low_temp': 74, 'high_temp': 97}, {'day': '5/31', 'low_temp': 75, 'high_temp': 95}, {'day': '6/1', 'low_temp': 75, 'high_temp': 97}, {'day': '6/2', 'low_temp': 74, 'high_temp': 98}, {'day': '6/3', 'low_temp': 74, 'high_temp': 97}, {'day': '6/4', 'low_temp': 72, 'high_temp': 96}, {'day': '6/5', 'low_temp': 81, 'high_temp': 97}, {'day': '6/6', 'low_temp': 80, 'high_temp': 100}, {'day': '6/7', 'low_temp': 78, 'high_temp': 100}, {'day': '6/8', 'low_temp': 79, 'high_temp': 99}]"
Rodolfo Sánchez Taboada,Baja California,"[{'day': '5/30', 'low_temp': 52, 'high_temp': 71}, {'day': '5/31', 'low_temp': 53, 'high_temp': 71}, {'day': '6/1', 'low_temp': 54, 'high_temp': 72}, {'day': '6/2', 'low_temp': 51, 'high_temp': 70}, {'day': '6/3', 'low_temp': 51, 'high_temp': 69}, {'day': '6/4', 'low_temp': 54, 'high_temp': 71}, {'day': '6/5', 'low_temp': 48, 'high_temp': 74}, {'day': '6/6', 'low_temp': 51, 'high_temp': 79}, {'day': '6/7', 'low_temp': 52, 'high_temp': 81}, {'day': '6/8', 'low_temp': 51, 'high_temp': 80}]"
Quinta del Cedro,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
Puebla,Baja California,"[{'day': '5/30', 'low_temp': 67, 'high_temp': 103}, {'day': '5/31', 'low_temp': 67, 'high_temp': 104}, {'day': '6/1', 'low_temp': 67, 'high_temp': 103}, {'day': '6/2', 'low_temp': 68, 'high_temp': 103}, {'day': '6/3', 'low_temp': 69, 'high_temp': 102}, {'day': '6/4', 'low_temp': 68, 'high_temp': 102}, {'day': '6/5', 'low_temp': 69, 'high_temp': 103}, {'day': '6/6', 'low_temp': 70, 'high_temp': 104}, {'day': '6/7', 'low_temp': 69, 'high_temp': 104}, {'day': '6/8', 'low_temp': 70, 'high_temp': 103}]"
Progreso,Baja California,"[{'day': '5/30', 'low_temp': 71, 'high_temp': 104}, {'day': '5/31', 'low_temp': 71, 'high_temp': 104}, {'day': '6/1', 'low_temp': 69, 'high_temp': 105}, {'day': '6/2', 'low_temp': 71, 'high_temp': 104}, {'day': '6/3', 'low_temp': 71, 'high_temp': 102}, {'day': '6/4', 'low_temp': 73, 'high_temp': 101}, {'day': '6/5', 'low_temp': 72, 'high_temp': 105}, {'day': '6/6', 'low_temp': 75, 'high_temp': 106}, {'day': '6/7', 'low_temp': 73, 'high_temp': 105}, {'day': '6/8', 'low_temp': 75, 'high_temp': 101}]"
Pórticos de San Antonio,Baja California,"[{'day': '5/30', 'low_temp': 54, 'high_temp': 67}, {'day': '5/31', 'low_temp': 54, 'high_temp': 67}, {'day': '6/1', 'low_temp': 55, 'high_temp': 67}, {'day': '6/2', 'low_temp': 54, 'high_temp': 68}, {'day': '6/3', 'low_temp': 53, 'high_temp': 67}, {'day': '6/4', 'low_temp': 57, 'high_temp': 69}, {'day': '6/5', 'low_temp': 58, 'high_temp': 70}, {'day': '6/6', 'low_temp': 55, 'high_temp': 69}, {'day': '6/7', 'low_temp': 56, 'high_temp': 71}, {'day': '6/8', 'low_temp': 55, 'high_temp': 70}]"
Playas de Rosarito,Baja California,"[{'day': '5/30', 'low_temp': 56, 'high_temp': 66}, {'day': '5/31', 'low_temp': 56, 'high_temp': 66}, {'day': '6/1', 'low_temp': 57, 'high_temp': 66}, {'day': '6/2', 'low_temp': 56, 'high_temp': 64}, {'day': '6/3', 'low_temp': 57, 'high_temp': 63}, {'day': '6/4', 'low_temp': 59, 'high_temp': 65}, {'day': '6/5', 'low_temp': 54, 'high_temp': 67}, {'day': '6/6', 'low_temp': 57, 'high_temp': 67}, {'day': '6/7', 'low_temp': 58, 'high_temp': 69}, {'day': '6/8', 'low_temp': 57, 'high_temp': 68}]"
Mexicali,Baja California,"[{'day': '5/30', 'low_temp': 68, 'high_temp': 103}, {'day': '5/31', 'low_temp': 68, 'high_temp': 103}, {'day': '6/1', 'low_temp': 68, 'high_temp': 104}, {'day': '6/2', 'low_temp': 69, 'high_temp': 103}, {'day': '6/3', 'low_temp': 70, 'high_temp': 102}, {'day': '6/4', 'low_temp': 69, 'high_temp': 102}, {'day': '6/5', 'low_temp': 68, 'high_temp': 104}, {'day': '6/6', 'low_temp': 70, 'high_temp': 103}, {'day': '6/7', 'low_temp': 69, 'high_temp': 103}, {'day': '6/8', 'low_temp': 70, 'high_temp': 102}]"
